Product Name,Product Price,Rating,Number of Reviews,Product URL
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,,4.1 out of 5 stars,4.1,https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692622850&sprefix=ba%2Caps%2C283&sr=8-13
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,,4.3 out of 5 stars,4.3,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692622850&sprefix=ba%2Caps%2C283&sr=8-14
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,,3.7 out of 5 stars,3.7,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692622850&sprefix=ba%2Caps%2C283&sr=8-15
Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,,4.4 out of 5 stars,4.4,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692622850&sprefix=ba%2Caps%2C283&sr=8-16
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,,4.5 out of 5 stars,4.5,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692622850&sprefix=ba%2Caps%2C283&sr=8-17
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",,4.2 out of 5 stars,4.2,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692622850&sprefix=ba%2Caps%2C283&sr=8-18
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",,4.1 out of 5 stars,4.1,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692622850&sprefix=ba%2Caps%2C283&sr=8-19
Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),,4.3 out of 5 stars,4.3,https://www.amazon.in/gp/bestsellers/luggage/2917507031/ref=sr_bs_19_2917507031_1
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",,4.4 out of 5 stars,4.4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODg0NTA0NzMzNzQ5NTk3OjE2OTI2MjI4NTA6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2FUppercase-Professional-Backpack-Resistant-Sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692622850%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students,,4.6 out of 5 stars,4.6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODg0NTA0NzMzNzQ5NTk3OjE2OTI2MjI4NTA6c3BfYnRmOjIwMTUzOTYyNDIxNDk4OjowOjo&url=%2FFUR-JADEN-Anti-Theft-Backpack-Professionals%2Fdp%2FB0C28QQMFJ%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692622850%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
